lafz	aeraab	qism	maani_en	kyun
بوس کردن		verb	to kiss	rishta:کردن
روزمه		noun	date	arbi
فقاع		noun	beer	platts
خرید کردن		verb	to shop	rishta:کردن
امضاء کردن		verb	to sign	rishta:کردن
امضاء		noun	signature	platts
دختری		noun	girlhood	arbi
گوش کردن		verb	to listen	rishta:کردن
سلام کردن		verb	to greet	rishta:سلام
کوتاهی		noun	shortness (in time and space); brevity	platts
چروک		noun	wrinkle	platts
بیرق		noun	flag	platts
خم		adj	bent, crooked, curved	platts
قدردانی		noun	appreciation	platts
نرده		noun	palisade	platts
غلط بودن		verb	to be wrong	rishta:غلط
قبه		noun	dome, cupola, vault	platts
دستره		noun	handsaw	arbi
دست اره		noun	handsaw	arbi
قرص		adj	firm, solid	platts
شوکولات		noun	chocolate	arbi
وحشی		adj	wild	platts
حلوا		noun	halva	platts
نذر		noun	oblation, vow to God	platts
طولانی		adv	long	platts
بلوچی		adj	Balochi	platts
جوراب		noun	sock	platts
مومیا		noun	shilajit, mumijo	platts
مناقشه		noun	dispute, quarrel	arbi
آبدست		noun	abdest, wudu	platts
تکمه		noun	button	arbi
پاپوش		noun	slipper, babouche	platts
جمجمه		noun	skull	arbi
سرخوش		adj	happy	platts
تنبل		adj	lazy	platts
پوشک		noun	nappy, diaper	platts
نبی		noun	prophet	platts
ختنه زنان		noun	female circumcision	rishta:ختنہ
الفبا		noun	alphabet	platts
سخنگو	سُخَنگو	noun	spokesperson, spokesman, spokeswoman	platts
دیشب		adv	last night	platts
لیوان		noun	یک لیوان شیر میخواهید؟ (more literary)
yek livân šir mi-xâhid?یه لیوان شیر میخواین؟ (more colloquial)
ye livân	platts
نوزاد		noun	newborn	platts
بالا		adv	up, upwards	platts
آلودن	آلودَن	verb	to contaminate, to pollute	platts
همراه		noun	companion, fellow traveller	platts
مناره		noun	minaret	arbi
میمون		noun	monkey, ape	platts
فندک	فَنْدَک	noun	lighter (fire-making device)	arbi
تبر		noun	hatchet, axe, mattock	platts
کوفته		adj	beaten	arbi
مثبت		adj	positive; good	platts
بادام زمینی		noun	peanut	rishta:بادام
کاربر		noun	user (someone who uses something)	platts
زبان مادری		noun	mother tongue, native language	rishta:زبان
خطر		noun	danger	platts
گربه ایرانی	گُرْبِهٔ ایرانی	noun	Persian cat	rishta:گربہ
سکر		noun	drunkenness	platts
مستی		noun	drunkenness	platts
جبر		noun	force, compulsion	platts
خلاق		adj	creative	platts
رعد		noun	thunder	platts
جبار		adj	unmerciful	platts
جابر		adj	despotic	platts
جنین		noun	embryo, foetus	platts
فقیه		noun	jurist and theologian, expert in Islamic jurisprudence.	arbi
دود		noun	smoke	platts
گل سرخ		noun	rose	rishta:گل
دربان		noun	porter, doorkeeper	platts
وجدان		noun	conscience	arbi
باحال		adj	cool (interesting)	platts
عراف		noun	diviner, fortuneteller	platts
سود		noun	profit; gain; benefit; advantage	platts
دستور زبان		noun	grammar	rishta:دستور
حاجی فیروز		noun	Hajji Firuz, a traditional character of Nowruz who heralds the New Year with song, dance and music-making; he 	rishta:فیروز
نکته		noun	point (to be mentioned)	arbi
خریدن		verb	to buy; to purchase	platts
مچ پا		noun	ankle	rishta:پا
گشاد	گُشاد	adj	wide	platts
فرار		noun	escape	platts
قیچی		noun	scissors	platts
کشیدن	کَشیدَن	verb	to pull, to drag, to haul	platts
کیسه		noun	sack	arbi
کیسه هوا		noun	airbag	arbi
بهره		noun	interest	arbi
تبریک		noun	congratulation	arbi
میان		noun	middle	platts
حیله		noun	deception, fraud; trick; trickery	arbi
تمدن		noun	civilisation	arbi
خاطرات		noun	broken plural of خاطره (xātira /xâtere)	platts
قلیان		noun	calean, hookah, narghile	platts
بیمه		noun	insurance	arbi
آموزگار		noun	teacher	platts
صلح		noun	peace; conciliation	arbi
آرنج		noun	elbow	platts
کیلو		noun	kilo	platts
پیچ		noun	screw	platts
رگ		noun	blood vessel; arteries, capillaries or veins.	platts
مواظب	مُواظِب	adj	careful, attentive	arbi
پیچک		noun	ivy	platts
قصد		noun	intention, desire, objective	platts
عزر		noun	censuring	platts
قر		noun	twerk, twerking; gyrating one's hips (used for both men and women)	platts
میهن		noun	homeland, native country	platts
گیتی		noun	The Universe	platts
ویژگی	ویژِگی	noun	trait	arbi
خسیس		noun	miser	platts
لوت		noun	loot	platts
آزاد کردن		verb	to set free	rishta:ازاد
اعتراض کردن		verb	to protest	rishta:اعتراض
جناب عالی		pron	you	rishta:جناب
جاده		noun	road (between towns or areas); thoroughfare	arbi
باقلا		noun	broad bean, fava bean (Vicia faba)	platts
شپش		noun	louse	platts
جمع		noun	crowd	platts
سکوت		noun	silence	platts
شغال		noun	jackal	platts
عضله		noun	muscle	arbi
پیشی		noun	precedence	platts
هرتز		noun	hertz	arbi
فنر		noun	spring (device made of flexible material)	arbi
قرينة		noun	context	arbi
ماژیک		noun	marker, marker pen	platts
آزادی بیان		noun	freedom of speech	rishta:ازادی
آلش		noun	beech (tree of genus Fagus)	platts
ممرز		noun	hornbeam	arbi
باور کردن	باوَر کَرْدَن	verb	to believe	rishta:باور
نفرین		noun	curse	platts
امسال		adv	this year	platts
جریمه		noun	fine	arbi
مک		noun	sucking, suction, intake	platts
کاسه		noun	bowl	arbi
باستانی		adj	ancient	platts
سمنو		noun	samanu (a kind of wheat pudding)	platts
ارتش		noun	army	platts
خونین		adj	bloody	platts
راکت	راکِت	noun	rocket	platts
شرق		noun	the east	platts
تاریخدان		noun	historian	platts
نژادی	نِژادی	adj	racial	platts
لذت بردن	لِذَّت بُردَن	verb	to take pleasure, to enjoy	rishta:لذت
اهانت		noun	insolence	platts
شیر آب		noun	tap, faucet	platts
چوب		noun	wood	platts
شورا		noun	council	platts
اندوه		noun	sorrow, sadness, melancholy	arbi
نارنج		noun	Seville orange, bitter orange, Citrus aurantium	arbi
هرم		noun	pyramid	platts
مفصل		noun	skeletal joint	platts
آلت		noun	tool, instrument, apparatus, utensil	platts
سوت		noun	whistle	platts
قدح	قَدَح	noun	goblet; cup	arbi
عکسی		adj	pictographic	platts
گون		noun	colour	platts
قاپو		noun	gate	platts
سرای		noun	hall	platts
ایجاد		noun	creation	platts
عزیمت		noun	departure, heading off	platts
حرص		noun	greed	platts
کاهن		noun	fortuneteller	platts
کهنه		adj	old, used	arbi
چکش	چَکُش	noun	hammer	platts
خصومت		noun	hostility, enmity	platts
طرب		noun	joy, mirth, cheerfulness	platts
اسلاو		noun	Slav	platts
عبرت		noun	lesson	platts
نورانی		adj	luminous, lighting, glittering	platts
جاودان		adj	eternal, everlasting, self-perpetuating, sempiternal living, immortal	arbi
حریف		noun	rival, opponent; match	platts
بندری		adj	of, or relating to, a port or harbour	platts
نمایه		noun	index (alphabetical list)	arbi
غزال		noun	gazelle	arbi
تهدید		noun	threat	arbi
گنه		noun	crime	platts
پگاه		noun	dawn	platts
دلم		noun	pimple	platts
بخاطر		prep	for the sake of, because of, by virtue of	platts
خاطب		noun	preacher	platts
آستانه		noun	threshold	arbi
چشم براه		adj	expectant, waiting (for something)	rishta:چشم
فرد		noun	individual	platts
باری		adj	relating to cargo or cargo transport	platts
مرید		adj	stubborn, perverse, unruly, disobedient, obstinate	platts
قرمه		noun	preserved meat	arbi
فر		noun	splendour, splendor	platts
سیلی		noun	slap (in the face)	platts
سقف		noun	ceiling, roof	arbi
جدر		noun	a yearling camel	platts
آشغال		noun	garbage (any leftover waste or scraps)	platts
خرج	خَرْج	noun	expense; expenditure; cost	platts
چرت		noun	nonsense	platts
مژده		noun	good news; joyful tidings	arbi
دهه		noun	decade	arbi
عبارت		noun	phrase (short written or spoken expression)	platts
گنگ		noun	mute (a person unable to speak)	platts
بردار		noun	vector	platts
مشتق		adj	derived	platts
ضرب		noun	tap; blow, stroke	arbi
ضرب داخلی		noun	scalar product, dot product	rishta:داخلی
بیشه		noun	forest, wood, jungle	arbi
فرس		noun	horse	platts
بعضی	بَعضی	pron	some	platts
ماشاءالله		intj	mashallah; what God wills.	platts
نهر		noun	brook; creek; stream	platts
مخ		noun	palm, palm tree	platts
ظن		noun	opinion; thought; view	platts
غوک		noun	frog	platts
رفق		noun	friendliness	platts
تجمع		noun	coming together, assembling, gathering (act of coming together)	arbi
حتی	حَتّی	adv	even (to such a degree)	platts
ابجد		noun	abjad	platts
احمر		adj	red	platts
بوراب		noun	storm	platts
بام		noun	roof	platts
دعا کردن		verb	to pray	rishta:دعا
کفتر		noun	pigeon, dove	arbi
هست		verb	there is, there are	platts
مسافرت		noun	trip, journey	platts
نهج		noun	manner	arbi
نوک		noun	beak, bill (of bird)	platts
کنار		noun	side	platts
قطع		noun	cut, cutting, severing	platts
انتقاد		noun	criticism	platts
فروغ		noun	brightness, lustre	platts
خلال		noun	zest (and other thinly sliced nuts or fruit skin)	platts
زاغ		noun	rook (bird)	arbi
خاده		noun	pole	arbi
خاج		noun	club (♣)	platts
ازخ		noun	rotten and empty nut	arbi
چپر		noun	circle, ring	platts
چاپار		noun	post, mail	platts
درگر		noun	carpenter	platts
جانه		noun	vital spirit	arbi
جناس		noun	pun, play on words, wordplay	platts
جاود		adj	eternal, perpetual	platts
روانی		noun	course	platts
زنخ		noun	chin	arbi
مجله		noun	magazine	arbi
پیراستن		verb	to adorn, decorate, ornament, embellish (especially by cutting, clipping, or taking away)	platts
تحت		prep	under	platts
دلبند		adj	beloved	platts
کوره		noun	forge, furnace	platts
افق رویداد		noun	event horizon	rishta:افق
تعلم		noun	learning	platts
زبان صوری		noun	formal language	rishta:زبان
طبق معمول		adv	as usual	rishta:طبق
عدد صحیح		noun	integer	arbi
رقم		noun	character, letter	platts
مخرج		noun	denominator	arbi
چادر شب		noun	bedsheet	rishta:چادر
فقر		noun	poverty	arbi
عجانی		adj	perineal	platts
قابل تردید		adj	questionable, doubtful, disputable	rishta:قابل
سرعت گری		noun	escape velocity	rishta:گری
همایون		adj	blessed, sacred, fortunate	platts
تفاوت		noun	difference	platts
گلوله		noun	bullet	arbi
روادید		noun	visa (permit)	platts
گورخر		noun	zebra	platts
گرایش جنسی		noun	sexual orientation	rishta:جنسی
گرایش		noun	inclination	platts
تمایل جنسی		noun	sexual orientation	rishta:جنسی
تمایل		noun	inclination, tendency, propensity, bias, disposition	platts
آبادان		noun	cultivated or inhabited place	platts
مادری		adj	maternal; motherly	platts
زبل		adj	quick-witted	arbi
تفرق		noun	dispersion	arbi
تفاضل		noun	difference	arbi
کتف		noun	shoulder blade	arbi
تفاهم		noun	mutual understanding	arbi
آخیز		noun	cement	platts
گشتن		verb	to rotate, turn, revolve, spin (to move around an axis)	platts
دروند		adj	sinful, wicked	platts
خور		noun	sun	platts
بود		noun	being, dasein, existence	platts
ارزیدن		verb	to cost	platts
مقدماتی	مُقَدَّماتی	adj	elementary	platts
غوغا		noun	noise	platts
لاس		noun	flirting	platts
لس		adj	lazy	platts
لوند		adj	coquettish, flirtatious	platts
غوره		adj	unripe, green (of grapes, dates, olives)	platts
کتل		noun	hillock	platts
مخمر		noun	yeast (fungus)	arbi
سونامی		noun	tsunami	platts
مفعول		noun	object	arbi
شکست دادن		verb	to defeat; to beat	rishta:شکست
سنجد		noun	jujube (tree or fruit)	platts
منگوش		noun	earring	platts
پوشش		noun	cover (lid)	platts
گوشه		noun	corner	arbi
خدای		noun	lord, patron, master, owner	platts
ورقه		noun	sheet (piece of paper)	platts
بوره		noun	borax	platts
منطق		noun	logic, dialectics	platts
علم منطق		noun	logic	rishta:علم
راست کردن		verb	to straighten	rishta:کردن
ابرک		noun	little cloud	platts
گمارا		noun	a fold for cattle	platts
زمان		noun	time, epoch, period, age, season (a broad time period; not the precise time on a clock)	platts
برز		noun	sown field	arbi
بیولوژی دریا		noun	marine biology	rishta:دریا
گرزه	گَرزه	noun	rat	arbi
تیلا		noun	rope	platts
تف		noun	flame, heat, warmth	platts
وشم		noun	steam	platts
ریاضیات		noun	mathematics	arbi
چاش		noun	lunch	platts
سان		noun	kind, manner	platts
تفت		noun	heat, warmth	platts
تجدید نظر کردن		verb	to revise	rishta:نظر
ویرایش		noun	edit, revision (a change to the text of a document)	platts
چکاد		noun	top, crown of the head	platts
کین		noun	hatred, enmity, rancour, malice; revenge	platts
سفارش دادن		verb	To order (to request some product or service)	rishta:سفارش
آشفتن		verb	to agitate	platts
ارزش		noun	value, worth	platts
مجوز		noun	license, permission	arbi
پاراو		noun	old woman	platts
گوازه		noun	ox-goad	arbi
دژن		adj	hot, spicy	arbi
یاتاق		noun	bed	platts
هیدرات		noun	hydrate	platts
خائن		noun	traitor	platts
خوان		noun	table or large tray particularly such one as is fit for dining	platts
دبیر		noun	high school teacher	platts
ریدک		noun	beardless youth	platts
شبان		noun	at night	arbi
پیکر		noun	face, countenance	platts
تکیدن		verb	to attack; to raid	platts
دستیار		noun	assistant, helper	platts
کپی		noun	ape, monkey	platts
شبی		adj	nocturnal, belonging to the night	platts
پازو		noun	beet, beetroot	platts
زالو		noun	leech	platts
داور		noun	referee, ref	platts
ارس		noun	tear	platts
زروک		noun	leech	platts
ساگوارو		noun	saguaro	platts
دشنه		noun	dagger, poniard	platts
رتیل		noun	tarantula	platts
خلاص		adj	free, liberated	platts
ورق		noun	leaf (of a tree or book)	platts
درب		noun	gate	platts
شل		adj	soft, limp	platts
آنان		pron	they, those people (specifically of humans)	platts
باید		verb	Expresses an obligation or confident conjecture, equivalent to English must, have to, should, ought, etc.	platts
دنیدن		verb	to walk with pomposity	platts
حرکت	حَرَکَت	noun	motion	platts
یاخته		noun	cell	platts
آمیخته		adj	compound	arbi
خزان		noun	autumn	platts
بیور		noun	myriad, ten thousand	platts
تمیز کردن		verb	to clean	rishta:تمیز
بایستن		verb	to be necessary; must, ought	platts
بریدن		verb	to cut	platts
هفده		num	seventeen	arbi
طلب کردن		verb	to request	rishta:طلب
پانصد		num	five hundred	platts
هنجار		noun	norm, convention	arbi
دس خوش		intj	well done; good job; bravo	rishta:دس
سرسرا		noun	entry, entrance hall, foyer, hall, vestibule (room just inside the front door of a building)	platts
ماشین حساب	ماشینِ حِساب	noun	calculator	rishta:حساب
نظریه اطلاعات		noun	information theory	rishta:نظریہ
چنین		adj	such as this	platts
شکیبائی		noun	patience	platts
کجا	کُجا	adv	where	platts
پس		conj	then; so; therefore	platts
برای		prep	for	platts
جلو		noun	front	platts
پرکار	پُرکار	adj	hard-working, prolific	platts
باهوش		adj	intelligent; smart	platts
قدیمی	قَدیمی	adj	old, ancient, not new, having existed for a long time (not of age; see also پیر (pir))	platts
جدی		adj	serious	platts
نگاه کردن		verb	to look, to watch	rishta:نگاہ
تهی		adj	empty (devoid of content)	platts
رونوشت		noun	copy (result of copying; an identical duplication)	platts
معادله		noun	equation (assertion)	arbi
توله		noun	whelp	platts
باردار		adj	pregnant	platts
